"Etiquetas de fila","2017_corrupcion","2018_corrupcion","2019_corrupcion","2020_corrupcion","2021_corrupcion","2022_corrupcion","2023_corrupcion","2024_corrupcion","2017_IDH","2018_IDH","2019_IDH","2020_IDH","2021_IDH","2022_IDH","2023_IDH","2024_IDH","2017_PIM","2018_PIM","2019_PIM","2020_PIM","2021_PIM","2022_PIM","2023_PIM","2024_PIM","2017_Devengado","2018_Devengado2","2019_Devengado22","2020_Devengado2","2021_Devengado3","2022_Devengado23","2023_Devengado3","2024_Devengado4","2018_fragment","2022_fragment"
"AMAZONAS_BAGUA","1","2","3","1","4","2","2","2","0.5494749546051","0.552754342556","0.55701702833176","0.54798692464828","0.54768359661102","0.57004338502884","0.57207602262497","0.57097274065018","  16,738,156 ","  15,190,192 ","  18,929,899 ","  46,610,835 ","  37,044,392 ","  28,206,725 ","  30,575,495 ","  34,351,868 ","  15,124,989 ","  13,507,604 ","  13,765,469 ","  28,386,442 ","  31,836,250 ","  24,084,078 ","  23,181,870 ","  29,690,800 ","  8 ","  8 "
"AMAZONAS_BONGARA","0","0","0","1","1","0","0","2","0.5237780213356","0.53666108846664","0.54365032911301","0.52869307994843","0.52539831399918","0.5503870844841","0.57750099897385","0.55921214818954","  3,976,953 ","  3,270,617 ","  12,102,749 ","  20,444,814 ","  10,140,465 ","  21,825,489 ","  22,591,077 ","  14,194,672 ","  3,615,485 ","  3,161,325 ","  4,353,686 ","  16,116,622 ","  8,761,382 ","  10,212,502 ","  15,530,917 ","  8,655,331 ","  5 ","  4 "
"AMAZONAS_CHACHAPOYAS","0","3","0","2","0","0","1","4","0.59333157539368","0.60977202653885","0.61672967672348","0.58279091119766","0.59296011924744","0.61787754297256","0.61193293333054","0.62233680486679","  29,572,272 ","  21,053,950 ","  20,553,411 ","  54,738,256 ","  39,131,645 ","  58,291,087 ","  107,507,294 ","  132,120,049 ","  22,352,797 ","  17,228,131 ","  14,864,073 ","  31,360,444 ","  29,576,070 ","  42,316,052 ","  43,692,323 ","  78,701,527 ","  7 ","  7 "
"AMAZONAS_CONDORCANQUI","0","2","5","4","1","3","2","2","0.44950580596924","0.44886809587479","0.48008874058723","0.4466187953949","0.43459513783455","0.46474900841713","0.46249783039093","0.46481916308403","  28,955,696 ","  36,455,349 ","  44,224,699 ","  42,579,775 ","  44,856,368 ","  43,942,523 ","  48,221,148 ","  64,789,947 ","  23,207,806 ","  31,814,397 ","  34,675,427 ","  25,168,519 ","  32,131,549 ","  25,352,064 ","  37,304,364 ","  61,573,762 ","  14 ","  8 "
"AMAZONAS_LUYA","0","0","1","2","0","0","1","1","0.46423634886742","0.4803441464901","0.48420408368111","0.49771195650101","0.48488610982895","0.50599199533463","0.51403427124023","0.50355893373489","  24,872,461 ","  17,853,709 ","  23,177,673 ","  69,662,016 ","  37,992,877 ","  38,394,091 ","  21,816,629 ","  27,819,325 ","  23,523,008 ","  12,704,180 ","  14,934,339 ","  43,810,007 ","  32,000,931 ","  27,394,088 ","  19,262,390 ","  16,951,177 ","  5 ","  5 "
"AMAZONAS_RODRIGUEZ DE MENDOZA","1","0","1","2","0","3","3","2","0.50052684545517","0.51467114686966","0.5371401309967","0.52430009841919","0.50800108909607","0.53924751281738","0.54394334554672","0.53673732280731","  24,989,292 ","  24,531,358 ","  28,520,259 ","  35,775,291 ","  17,525,430 ","  8,941,984 ","  13,281,019 ","  29,552,693 ","  10,901,418 ","  12,554,641 ","  7,934,582 ","  26,550,733 ","  11,803,082 ","  7,621,099 ","  10,167,844 ","  25,765,099 ","  5 ","  4 "
"AMAZONAS_UTCUBAMBA","1","1","3","2","2","1","7","5","0.54458379745483","0.54376989603043","0.54886484146118","0.53360617160797","0.54697954654694","0.55614018440247","0.56087177991867","0.56062036752701","  43,363,908 ","  30,197,008 ","  35,652,004 ","  73,756,401 ","  73,961,022 ","  58,847,803 ","  51,988,622 ","  51,794,935 ","  38,797,409 ","  24,742,598 ","  29,019,085 ","  43,939,610 ","  63,715,545 ","  51,247,697 ","  45,808,879 ","  45,095,022 ","  10 ","  6 "
"ANCASH_AIJA","0","1","0","0","0","0","0","0","0.47061291337013","0.51688528060913","0.53379964828491","0.4637451171875","0.49914500117302","0.50285869836807","0.51876503229141","0.515485227108","  4,507,423 ","  8,102,251 ","  7,618,737 ","  25,026,228 ","  33,403,158 ","  23,778,565 ","  13,680,719 ","  8,924,647 ","  2,625,712 ","  3,647,603 ","  3,115,393 ","  5,772,732 ","  26,117,785 ","  14,106,947 ","  10,484,020 ","  6,358,428 ","  10 ","  4 "
"ANCASH_ANTONIO RAIMONDI","0","0","1","0","1","0","0","1","0.44348731637001","0.48466545343399","0.50109505653381","0.45965030789375","0.49272793531418","0.47464799880981","0.45484399795532","0.47799551486969","  6,086,006 ","  7,013,882 ","  5,272,261 ","  21,467,925 ","  31,480,558 ","  17,998,888 ","  11,747,406 ","  13,133,082 ","  4,161,121 ","  4,543,295 ","  3,918,837 ","  8,219,158 ","  22,362,899 ","  10,942,382 ","  7,582,058 ","  8,483,507 ","  8 ","  5 "
"ANCASH_ASUNCION","0","1","0","0","2","1","3","3","0.43770226836205","0.46745517849922","0.51223593950272","0.43881189823151","0.48057749867439","0.47365489602089","0.47603291273117","0.4679112136364","  7,625,319 ","  8,546,395 ","  7,973,034 ","  10,786,960 ","  14,208,641 ","  11,928,572 ","  10,268,261 ","  12,650,379 ","  6,450,679 ","  6,105,136 ","  6,203,195 ","  5,337,641 ","  12,202,288 ","  9,788,725 ","  4,590,565 ","  7,396,885 ","  5 ","  3 "
